Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0055729169775,-0.109474135446362,0.154196177376434,
,,,-0.005520833645,-0.110298256098758,0.148467535618693,
,,,-0.0054687503125,-0.111122376751155,0.135100704850629,
,,,-0.00541666698,-0.111946497403551,0.125552968587726,
,,,-0.0053645836475,-0.112358557729749,0.125552968587726,
,,,-0.005312500315,-0.112358557729749,0.121733874082565,
,,,-0.0052604169825,-0.112770618055947,0.112186137819663,
,,,-0.00520833365,-0.112770618055947,0.095000212546438,
,,,-0.0051562503175,-0.111946497403551,0.150377082871273,
,,,-0.005104166985,-0.111946497403551,0.116005232324824,
,,,-0.0050520836525,-0.111122376751155,0.0873620235361159,
,,,-0.00500000032,-0.110710316424957,0.0930906652938575,
,,,-0.0049479169875,-0.10988619577256,0.0720856455154717,
,,,-0.004895833655,-0.109474135446362,0.0892715707886964,
,,,-0.0048437503225,-0.108650014793966,0.0873620235361159,
,,,-0.00479166699,-0.10782589414157,0.0835429290309548,
,,,-0.0047395836575,-0.106589713162975,0.0778142872732133,
,,,-0.004687500325,-0.105765592510579,0.0625379092525691,
,,,-0.0046354169925,-0.104529411531985,0.0720856455154717,
,,,-0.00458333366,-0.10329323055339,0.0434424367267638,
,,,-0.0045312503275,-0.102469109900994,0.0358042477164418,
,,,-0.004479166995,-0.1012329289224,0.0281660587061197,
,,,-0.0044270836625,-0.0999967479438055,0.0205278696957976,
,,,-0.00437500033,-0.0991726272914093,0.0243469642009586,
,,,-0.0043229169975,-0.0975243859866168,0.00334194442257285,
,,,-0.004270833665,-0.0962882050080225,-0.0367585478816181,
,,,-0.0042187503325,-0.0950520240294281,-0.0195726226083934,
,,,-0.004166667,-0.0938158430508338,-0.0310299061238766,
,,,-0.0041145836675,-0.0925796620722394,0.0224374169483781,
,,,-0.004062500335,-0.0913434810936451,-0.021482169860974,
,,,-0.0040104170025,-0.0896952397888526,-0.0386680951341987,
,,,-0.00395833367,-0.0884590588102583,-0.0558540204074234,
,,,-0.0039062503375,-0.0868108175054658,-0.065401756670326,
,,,-0.003854167005,-0.0855746365268715,-0.0730399456806481,
,,,-0.0038020836725,-0.0843384555482771,-0.0825876819435507,
,,,-0.00375000034,-0.0826902142434847,-0.0615826621651649,
,,,-0.0036979170075,-0.0814540332648903,-0.0310299061238766,
,,,-0.003645833675,-0.0798057919600978,-0.0367585478816181,
,,,-0.0035937503425,-0.0781575506553054,-0.0520349259022623,
,,,-0.00354166701,-0.0765093093505129,-0.118869079742581,
,,,-0.0034895836775,-0.0748610680457205,-0.11504998523742,
